,1,2,3,4,5,6,7
1,20.0,10.0,15.0,15.0,20.0,25.0,32.0
2,10.0,10.0,7.0,5.0,10.0,15.0,22.0
3,15.0,7.0,14.0,8.0,14.0,16.0,26.0
4,15.0,5.0,8.0,10.0,6.0,10.0,18.0
5,20.0,10.0,14.0,6.0,12.0,16.0,12.0
6,25.0,15.0,16.0,10.0,16.0,20.0,12.0
7,32.0,22.0,26.0,18.0,12.0,12.0,24.0
