,1,2,3,4,5,6,11,12,13,14,15,16,99,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133
1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
5,89576,63888,67772,93709,inf,85515,53637,55711,26167,70907,44404,inf,70316,26111,26727,46253,51309,55716,55698,61182,44108,44345,52234,56674,73514,81720,45036,47290,62877,67713,68836,86707,78887,92550,53432,56465,61091,63519,63821,64396,86335,87026,79273,72516,70889,70208
6,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
11,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
12,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
13,inf,inf,inf,67542,inf,inf,inf,29544,inf,inf,inf,inf,inf,inf,560,20086,25142,29549,29531,35015,inf,inf,26067,30507,47347,55553,inf,inf,inf,inf,64425,60540,67853,66383,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
14,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
15,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
16,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
99,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
101,63465,37777,41661,67598,inf,59404,27526,29600,56,44796,18293,inf,44205,inf,616,20142,25198,29605,29587,35071,17997,18234,26123,30563,47403,55609,18925,21179,36766,41602,42725,60596,52776,66439,27321,30354,34980,37408,37710,38285,60224,60915,53162,46405,44778,44097
102,inf,inf,inf,66982,inf,inf,inf,28984,inf,inf,inf,inf,inf,inf,inf,19526,24582,28989,28971,34455,inf,inf,25507,29947,46787,54993,inf,inf,inf,inf,63865,59980,67293,65823,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
103,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5056,inf,inf,inf,inf,inf,5981,10421,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
104,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,7032,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
105,inf,inf,inf,37993,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,79,inf,inf,5466,inf,inf,inf,7111,17798,26004,inf,inf,inf,inf,34876,30991,38304,36834,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
106,inf,inf,inf,38011,inf,inf,inf,13,inf,inf,inf,inf,inf,inf,inf,inf,97,18,inf,5484,inf,inf,inf,7129,17816,26022,inf,inf,inf,inf,34894,31009,38322,36852,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
107,inf,inf,inf,32527,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,12332,20538,inf,inf,inf,inf,29410,25525,32838,31368,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
108,45468,19780,23664,inf,inf,41407,9529,inf,inf,26799,296,inf,26208,inf,inf,inf,inf,inf,inf,inf,inf,237,10383,14823,inf,inf,928,3182,18769,23605,24728,inf,34779,inf,9324,12357,16983,19411,19713,20288,42227,42918,35165,28408,26781,26100
109,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,59,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,10146,14586,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
110,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4440,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
111,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
