,1,2,3,4,5,6,11,12,13,14,15,99
1,0.0,739750.0,606864.0,680522.0,1276988.0,61080.0,865351.0,1421315.0,1290067.0,139910.0,1333989.0,416927.0
2,739750.0,0.0,269656.0,343314.0,621508.0,700468.0,209871.0,765835.0,634587.0,683326.0,678509.0,828871.0
3,606864.0,269656.0,0.0,101660.0,806894.0,567582.0,395257.0,951221.0,819973.0,550440.0,863895.0,695985.0
4,680522.0,343314.0,101660.0,0.0,880552.0,641240.0,468915.0,1024879.0,893631.0,624098.0,937553.0,769643.0
5,1276988.0,621508.0,806894.0,880552.0,0.0,1237706.0,456927.0,278215.0,48989.0,1220564.0,190889.0,1366109.0
6,61080.0,700468.0,567582.0,641240.0,1237706.0,0.0,826069.0,1382033.0,1250785.0,100628.0,1294707.0,377645.0
11,865351.0,209871.0,395257.0,468915.0,456927.0,826069.0,0.0,601254.0,470006.0,808927.0,513928.0,954472.0
12,1421315.0,765835.0,951221.0,1024879.0,278215.0,1382033.0,601254.0,0.0,291294.0,1364891.0,188302.0,1510436.0
13,1290067.0,634587.0,819973.0,893631.0,48989.0,1250785.0,470006.0,291294.0,0.0,1233643.0,203968.0,1379188.0
14,139910.0,683326.0,550440.0,624098.0,1220564.0,100628.0,808927.0,1364891.0,1233643.0,0.0,1277565.0,360503.0
15,1333989.0,678509.0,863895.0,937553.0,190889.0,1294707.0,513928.0,188302.0,203968.0,1277565.0,0.0,1423110.0
99,416927.0,828871.0,695985.0,769643.0,1366109.0,377645.0,954472.0,1510436.0,1379188.0,360503.0,1423110.0,0.0
