1,128,13094
128,129,13094
129,130,23993
130,6,10899
130,131,23993
131,132,23993
132,14,41743
132,133,65736
133,99,253024
133,127,187288
127,124,187288
124,123,159136
123,122,145091
122,11,22645
122,115,122446
115,114,122446
114,108,122446
108,109,73457
109,15,50488
123,125,14045
125,126,14045
126,2,14045
109,110,22969
110,103,22969
103,104,22969
104,105,22969
105,106,22969
106,12,22969
124,116,27192
116,117,27192
117,3,14001
117,118,13191
118,119,17955
119,120,10899
120,121,22645
121,4,22969
108,101,48989
101,13,31034
101,5,17955
